r1,r2,r3,r4,r5,r6
38.485798,49.17550275,50.4763935,37.372281,22.53077575,4.455919
40.0950745,52.50931925,52.18923375,37.61469175,21.7507935,4.00504275
45.2188665,58.84756475,60.77246475,43.2632475,26.3605005,5.08085625
40.0950745,52.50931925,52.18923375,37.61469175,21.7507935,4.00504275
39.0937785,49.62272075,51.105608,37.2493495,22.0926045,4.26849775
45.8605955,60.39087325,62.9014915,45.953078,29.1077325,5.92438375
46.0837765,59.9020205,62.140604,44.0605935,26.90008875,5.187542
40.0950745,52.50931925,52.18923375,37.61469175,21.7507935,4.00504275
39.48721775,50.7012405,51.65345575,37.45453525,22.2508515,4.25226175
38.6988315,49.2106715,50.53433425,37.00553425,21.9164555,4.246369
38.32639975,48.822465,50.00224125,36.78506375,21.7521645,4.22760925
44.630763,58.10333525,60.3659765,43.67672075,27.13170025,5.385208
38.6988315,49.2106715,50.53433425,37.00553425,21.9164555,4.246369
38.41450875,49.02123275,50.258826,37.10487475,22.1723455,4.3510775
38.41450875,49.02123275,50.258826,37.10487475,22.1723455,4.3510775
46.80005925,60.39361675,62.394164,43.36141275,25.7814495,4.69174425
45.90286225,59.60494075,61.65763775,43.5940235,26.42246975,5.034714
45.90286225,59.60494075,61.65763775,43.5940235,26.42246975,5.034714
39.0937785,49.62272075,51.105608,37.2493495,22.0926045,4.26849775
39.0937785,49.62272075,51.105608,37.2493495,22.0926045,4.26849775
44.630763,58.10333525,60.3659765,43.67672075,27.13170025,5.385208
45.8605955,60.39087325,62.9014915,45.953078,29.1077325,5.92438375
46.0837765,59.9020205,62.140604,44.0605935,26.90008875,5.187542
38.21539125,48.56690875,49.69201,36.395423,21.2532215,4.08063525
38.485798,49.17550275,50.4763935,37.372281,22.53077575,4.455919
38.6988315,49.2106715,50.53433425,37.00553425,21.9164555,4.246369
45.51450725,58.966569,60.632844,42.595956,25.40784175,4.7073295
38.6988315,49.2106715,50.53433425,37.00553425,21.9164555,4.246369
38.6988315,49.2106715,50.53433425,37.00553425,21.9164555,4.246369
38.6988315,49.2106715,50.53433425,37.00553425,21.9164555,4.246369
45.8605955,60.39087325,62.9014915,45.953078,29.1077325,5.92438375
38.6988315,49.2106715,50.53433425,37.00553425,21.9164555,4.246369
44.741186,58.039881,59.436284,41.913599,24.9351115,4.62207225
47.52936475,61.55889525,64.2358905,45.0885315,27.45360525,5.23843475
47.1437635,61.2695445,64.02190025,45.33848675,27.92320675,5.44876175
44.4729005,57.999491,59.775754,42.8516925,26.24948975,5.11144375
45.07309725,58.60034675,60.353103,42.83910825,25.90802375,4.9354945
38.485798,49.17550275,50.4763935,37.372281,22.53077575,4.455919
48.29301275,62.457288,65.4578865,45.79232325,27.9455325,5.33705675
38.41450875,49.02123275,50.258826,37.10487475,22.1723455,4.3510775
44.630763,58.10333525,60.3659765,43.67672075,27.13170025,5.385208
38.6988315,49.2106715,50.53433425,37.00553425,21.9164555,4.246369
46.0837765,59.9020205,62.140604,44.0605935,26.90008875,5.187542
38.7877895,49.4071435,50.79774275,37.32939525,22.338284,4.3712915
38.485798,49.17550275,50.4763935,37.372281,22.53077575,4.455919
45.90286225,59.60494075,61.65763775,43.5940235,26.42246975,5.034714
45.8605955,60.39087325,62.9014915,45.953078,29.1077325,5.92438375
38.32639975,48.822465,50.00224125,36.78506375,21.7521645,4.22760925
43.074396,56.218688,58.22766775,42.6714535,26.7988125,5.393989
46.72829425,60.6013145,62.962329,44.35088925,26.94245425,5.136768
39.0937785,49.62272075,51.105608,37.2493495,22.0926045,4.26849775
43.857763,57.19961825,59.48991675,43.42155175,27.3044205,5.49808425
39.48721775,50.7012405,51.65345575,37.45453525,22.2508515,4.25226175
38.7877895,49.4071435,50.79774275,37.32939525,22.338284,4.3712915
38.41450875,49.02123275,50.258826,37.10487475,22.1723455,4.3510775
44.7833385,58.989936,60.954611,44.61708275,28.034417,5.661751
48.4396105,63.61413975,66.4538595,47.356803,29.51852425,5.887694
47.52936475,61.55889525,64.2358905,45.0885315,27.45360525,5.23843475
47.52936475,61.55889525,64.2358905,45.0885315,27.45360525,5.23843475
46.822771,61.5602795,64.240876,46.61184575,29.3541145,5.93994275
49.420617,63.6238535,67.05091125,46.46289075,28.27982925,5.327953
43.074396,56.218688,58.22766775,42.6714535,26.7988125,5.393989
43.857763,57.19961825,59.48991675,43.42155175,27.3044205,5.49808425
45.90286225,59.60494075,61.65763775,43.5940235,26.42246975,5.034714
47.1437635,61.2695445,64.02190025,45.33848675,27.92320675,5.44876175
47.5109845,61.215686,63.49843525,43.9723435,26.21141575,4.76561625
38.7877895,49.4071435,50.79774275,37.32939525,22.338284,4.3712915
45.90286225,59.60494075,61.65763775,43.5940235,26.42246975,5.034714
38.6988315,49.2106715,50.53433425,37.00553425,21.9164555,4.246369
38.7877895,49.4071435,50.79774275,37.32939525,22.338284,4.3712915
47.1437635,61.2695445,64.02190025,45.33848675,27.92320675,5.44876175
46.0837765,59.9020205,62.140604,44.0605935,26.90008875,5.187542
38.7877895,49.4071435,50.79774275,37.32939525,22.338284,4.3712915
46.0837765,59.9020205,62.140604,44.0605935,26.90008875,5.187542
42.41465925,55.1786795,55.68004525,39.566414,23.125467,4.233968
40.0950745,52.50931925,52.18923375,37.61469175,21.7507935,4.00504275
40.41913975,51.71370125,53.03981775,38.1649275,22.73635,4.3281315
38.41450875,49.02123275,50.258826,37.10487475,22.1723455,4.3510775
45.90286225,59.60494075,61.65763775,43.5940235,26.42246975,5.034714
38.485798,49.17550275,50.4763935,37.372281,22.53077575,4.455919
40.0950745,52.50931925,52.18923375,37.61469175,21.7507935,4.00504275
46.0837765,59.9020205,62.140604,44.0605935,26.90008875,5.187542
38.6988315,49.2106715,50.53433425,37.00553425,21.9164555,4.246369
38.6988315,49.2106715,50.53433425,37.00553425,21.9164555,4.246369
38.6988315,49.2106715,50.53433425,37.00553425,21.9164555,4.246369
46.72829425,60.6013145,62.962329,44.35088925,26.94245425,5.136768
46.0837765,59.9020205,62.140604,44.0605935,26.90008875,5.187542
45.90286225,59.60494075,61.65763775,43.5940235,26.42246975,5.034714
38.41450875,49.02123275,50.258826,37.10487475,22.1723455,4.3510775
45.7123945,59.29183375,61.153801,43.10471425,25.92419075,4.874309
38.485798,49.17550275,50.4763935,37.372281,22.53077575,4.455919
38.6988315,49.2106715,50.53433425,37.00553425,21.9164555,4.246369
62.89187425,83.33599075,74.87760375,41.33291925,18.2296175,3.220501
72.13246925,93.42193775,91.90524275,52.2879135,23.593476,4.05265
62.89187425,83.33599075,74.87760375,41.33291925,18.2296175,3.220501
62.89187425,83.33599075,74.87760375,41.33291925,18.2296175,3.220501
83.53007675,107.175211,129.1061823,101.9250928,61.342368,13.19393075
90.799988,115.957033,131.1575163,82.19993575,38.5582075,6.5027265
83.53007675,107.175211,129.1061823,101.9250928,61.342368,13.19393075
83.53007675,107.175211,129.1061823,101.9250928,61.342368,13.19393075
88.03154375,113.2128278,135.1977768,102.785038,56.82676425,11.348366
62.89187425,83.33599075,74.87760375,41.33291925,18.2296175,3.220501
90.851568,116.3315658,130.791241,81.2811605,37.8665075,6.3290515
89.5814915,112.6951963,132.0084455,87.85785475,43.1167115,7.7309975
82.77294725,106.936003,122.2977888,89.16145725,50.05070875,9.92792275
89.5814915,112.6951963,132.0084455,87.85785475,43.1167115,7.7309975
89.43003075,112.4777773,136.2721365,97.2285805,49.29417525,9.244924
62.89187425,83.33599075,74.87760375,41.33291925,18.2296175,3.220501
88.23878475,112.1208745,134.3656348,99.29837025,52.221037,10.118018
72.82761,94.12164125,93.4772245,53.7091865,24.527403,4.2463305
62.89187425,83.33599075,74.87760375,41.33291925,18.2296175,3.220501
90.851568,116.3315658,130.791241,81.2811605,37.8665075,6.3290515
83.53007675,107.175211,129.1061823,101.9250928,61.342368,13.19393075
64.79215425,85.0587635,80.08836775,46.70754725,22.08291125,4.11266975
82.43789475,106.6359235,122.0332853,89.26576225,50.29737,9.9711495
87.97997275,112.574131,133.849789,99.693777,53.7464835,10.5383575
88.19580475,112.0260735,135.9042815,103.0457725,57.59845725,11.600723
88.01879475,112.9287585,134.363449,100.8903353,55.02353975,10.868232
64.79215425,85.0587635,80.08836775,46.70754725,22.08291125,4.11266975
83.5917265,108.1043165,124.2946263,91.124178,51.39873875,10.211339
